line,part,cost,coreprice,qtyonhand,packs,sku
,B40000,12.25,,1,,BFDG_B40000
,B37,9.94,,583,,BFDG_B37
,B295,11.94,,6,,BFDG_B295
,55561100,6.53,,25,,DDWC_55561100
,TB172,29.98,,8,,BRBV_TB172
,70006,6.12,,0,,CHMT_70006
,B31,11.33,,393,,BFDG_B31
,30520,606.26,,7,,BBPJ_30520
,30563,198.13,,2,,BBPJ_30563
,30547,500.83,,11,,BBPJ_30547
,30539,395.79,,6,,BBPJ_30539
,30515,484.09,,3,,BBPJ_30515
,30569,420.24,,1,,BBPJ_30569
,30493,581.7,,3,,BBPJ_30493
,30510,366.43,,2,,BBPJ_30510
,30500,304.32,,2,,BBPJ_30500
,30434,411.74,,6,,BBPJ_30434
,30496,317.18,,9,,BBPJ_30496
,30525,466.73,,4,,BBPJ_30525
,30490,523.43,,3,,BBPJ_30490
,40043,141.68,,3,,BBPJ_40043
,30517,312.41,,1,,BBPJ_30517
,30459,445.92,,1,,BBPJ_30459
,30463,399.43,,1,,BBPJ_30463
,30800,495.06,,1,,BBPJ_30800
,30509,375.17,,2,,BBPJ_30509
,30431,421.51,,1,,BBPJ_30431
,30513,459.72,,6,,BBPJ_30513
,30575,438.07,,4,,BBPJ_30575
,30465,405.76,,4,,BBPJ_30465
,30804,550.42,,2,,BBPJ_30804
,40312,346.43,,1,,BBPJ_40312
,30559,451.28,,1,,BBPJ_30559
,30474,229.55,,3,,BBPJ_30474
,30582,331.69,,6,,BBPJ_30582
,30542,525.92,,6,,BBPJ_30542
,40252,211.62,,5,,BBPJ_40252
,30557,373.51,,21,,BBPJ_30557
,30583,331.69,,8,,BBPJ_30583
,40333,664.3,,3,,BBPJ_40333
,30497,476.46,,12,,BBPJ_30497
,30543,346.23,,3,,BBPJ_30543
,40293,222.41,,15,,BBPJ_40293
,40234,232.64,,48,,BBPJ_40234
,30498,376.42,,3,,BBPJ_30498
,30516,242.15,,5,,BBPJ_30516
,40161,151.26,,1,,BBPJ_40161
,30487,773.85,,2,,BBPJ_30487
,30447,661.32,,9,,BBPJ_30447
,30454,789.32,,7,,BBPJ_30454
,30530,465.66,,2,,BBPJ_30530
,30450,593.43,,13,,BBPJ_30450
,40360,166.08,,1,,BBPJ_40360
,30551,428.02,,1,,BBPJ_30551
,30541,365.24,,2,,BBPJ_30541
,30536,472.57,,1,,BBPJ_30536
,30501,305.02,,2,,BBPJ_30501
,40288,446.25,,1,,BBPJ_40288
,30495,466.39,,3,,BBPJ_30495
,40211,207.84,,5,,BBPJ_40211
,40204,123.48,,3,,BBPJ_40204
,40341,376.73,,2,,BBPJ_40341
,40231,242.03,,1,,BBPJ_40231
,40366,251.21,,20,,BBPJ_40366
,40365,214.56,,6,,BBPJ_40365
,30604,302.06,,4,,BBPJ_30604
,30610,276.02,,3,,BBPJ_30610
,30473,319.45,,4,,BBPJ_30473
,30810,529.35,,7,,BBPJ_30810
,40012,182.98,,11,,BBPJ_40012
